location,target_end_date,target_type,true_value,location_name,population
GB,2021-01-01,Cases,53285,United Kingdom,66022273
GB,2021-01-01,Deaths,613,,
GB,2021-01-02,Cases,57724,United Kingdom,66022273
GB,2021-01-02,Deaths,445,,
GB,2021-01-03,Cases,54990,United Kingdom,66022273
GB,2021-01-03,Deaths,454,,
GB,2021-01-04,Cases,58784,United Kingdom,66022273
GB,2021-01-04,Deaths,407,,
GB,2021-01-05,Cases,60916,United Kingdom,66022273
GB,2021-01-05,Deaths,874,,
GB,2021-01-06,Cases,62322,United Kingdom,66022273
GB,2021-01-06,Deaths,1041,,
GB,2021-01-07,Cases,52618,United Kingdom,66022273
GB,2021-01-07,Deaths,1162,,
GB,2021-01-08,Cases,68053,United Kingdom,66022273
GB,2021-01-08,Deaths,1325,,
GB,2021-01-09,Cases,59937,United Kingdom,66022273
GB,2021-01-09,Deaths,1035,,
GB,2021-01-10,Cases,54940,United Kingdom,66022273
GB,2021-01-10,Deaths,563,,
GB,2021-01-11,Cases,46169,United Kingdom,66022273
GB,2021-01-11,Deaths,529,,
GB,2021-01-12,Cases,45533,United Kingdom,66022273
GB,2021-01-12,Deaths,1243,,
GB,2021-01-13,Cases,47525,United Kingdom,66022273
GB,2021-01-13,Deaths,1564,,
GB,2021-01-14,Cases,48682,United Kingdom,66022273
GB,2021-01-14,Deaths,1248,,
GB,2021-01-15,Cases,55761,United Kingdom,66022273
GB,2021-01-15,Deaths,1280,,
GB,2021-01-16,Cases,41342,United Kingdom,66022273
GB,2021-01-16,Deaths,1295,,
GB,2021-01-17,Cases,38598,United Kingdom,66022273
GB,2021-01-17,Deaths,671,,
GB,2021-01-18,Cases,37535,United Kingdom,66022273
GB,2021-01-18,Deaths,599,,
GB,2021-01-19,Cases,33355,United Kingdom,66022273
GB,2021-01-19,Deaths,1610,,
GB,2021-01-20,Cases,38905,United Kingdom,66022273
GB,2021-01-20,Deaths,1820,,
GB,2021-01-21,Cases,37892,United Kingdom,66022273
GB,2021-01-21,Deaths,1290,,
GB,2021-01-22,Cases,40261,United Kingdom,66022273
GB,2021-01-22,Deaths,1401,,
GB,2021-01-23,Cases,33552,United Kingdom,66022273
GB,2021-01-23,Deaths,1348,,
GB,2021-01-24,Cases,30004,United Kingdom,66022273
GB,2021-01-24,Deaths,610,,
GB,2021-01-25,Cases,22195,United Kingdom,66022273
GB,2021-01-25,Deaths,592,,
GB,2021-01-26,Cases,20088,United Kingdom,66022273
GB,2021-01-26,Deaths,1631,,
GB,2021-01-27,Cases,25308,United Kingdom,66022273
GB,2021-01-27,Deaths,1725,,
GB,2021-01-28,Cases,28680,United Kingdom,66022273
GB,2021-01-28,Deaths,1239,,
GB,2021-01-29,Cases,29079,United Kingdom,66022273
GB,2021-01-29,Deaths,1245,,
GB,2021-01-30,Cases,23275,United Kingdom,66022273
GB,2021-01-30,Deaths,1200,,
GB,2021-01-31,Cases,21088,United Kingdom,66022273
GB,2021-01-31,Deaths,587,,
GB,2021-02-01,Cases,18607,United Kingdom,66022273
GB,2021-02-01,Deaths,406,,
GB,2021-02-02,Cases,16840,United Kingdom,66022273
GB,2021-02-02,Deaths,1449,,
GB,2021-02-03,Cases,19202,United Kingdom,66022273
GB,2021-02-03,Deaths,1322,,
