location,location_name,date,value,commit_date,type,target_end_date,weekly_value,n
GB,United Kingdom,2021-01-01,809,2023-02-08,Deaths,2021-01-02,809,1
GB,United Kingdom,2021-01-02,833,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-03,807,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-04,896,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-05,973,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-06,1014,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-07,1056,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-08,1052,2023-02-08,Deaths,2021-01-09,6631,7
GB,United Kingdom,2021-01-09,1094,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-10,1173,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-11,1244,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-12,1320,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-13,1309,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-14,1341,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-15,1324,2023-02-08,Deaths,2021-01-16,8805,7
GB,United Kingdom,2021-01-16,1419,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-17,1361,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-18,1401,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-19,1490,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-20,1383,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-21,1350,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-22,1335,2023-02-08,Deaths,2021-01-23,9739,7
GB,United Kingdom,2021-01-23,1288,2023-02-08,Deaths,2021-01-30,8579,7
GB,United Kingdom,2021-01-24,1239,2023-02-08,Deaths,2021-01-30,8579,7
