location,location_name,date,value,commit_date,type,target_end_date,weekly_value,n
GB,United Kingdom,2021-01-25,1263,2023-02-08,Deaths,2021-01-30,8579,7
GB,United Kingdom,2021-01-26,1173,2023-02-08,Deaths,2021-01-30,8579,7
GB,United Kingdom,2021-01-27,1232,2023-02-08,Deaths,2021-01-30,8579,7
GB,United Kingdom,2021-01-28,1224,2023-02-08,Deaths,2021-01-30,8579,7
GB,United Kingdom,2021-01-29,1160,2023-02-08,Deaths,2021-01-30,8579,7
GB,United Kingdom,2021-01-30,1026,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-01-31,995,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-02-01,1007,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-02-02,963,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-02-03,976,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-02-04,826,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-02-05,874,2023-02-08,Deaths,2021-02-06,6667,7
GB,United Kingdom,2021-02-06,787,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-07,753,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-08,781,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-09,723,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-10,712,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-11,676,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-12,636,2023-02-08,Deaths,2021-02-13,5068,7
GB,United Kingdom,2021-02-13,586,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-14,605,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-15,615,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-16,568,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-17,506,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-18,521,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-19,469,2023-02-08,Deaths,2021-02-20,3870,7
GB,United Kingdom,2021-02-20,452,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-21,411,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-22,379,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-23,381,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-24,367,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-25,355,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-26,304,2023-02-08,Deaths,2021-02-27,2649,7
GB,United Kingdom,2021-02-27,308,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-02-28,281,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-03-01,297,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-03-02,244,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-03-03,218,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-03-04,234,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-03-05,222,2023-02-08,Deaths,2021-03-06,1804,7
GB,United Kingdom,2021-03-06,210,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-07,197,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-08,197,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-09,185,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-10,163,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-11,173,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-12,135,2023-02-08,Deaths,2021-03-13,1260,7
GB,United Kingdom,2021-03-13,135,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-14,138,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-15,139,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-16,114,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-17,127,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-18,100,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-19,104,2023-02-08,Deaths,2021-03-20,857,7
GB,United Kingdom,2021-03-20,101,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-21,127,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-22,108,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-23,95,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-24,70,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-25,79,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-26,75,2023-02-08,Deaths,2021-03-27,655,7
GB,United Kingdom,2021-03-27,65,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-03-28,50,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-03-29,71,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-03-30,56,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-03-31,74,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-04-01,63,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-04-02,50,2023-02-08,Deaths,2021-04-03,429,7
GB,United Kingdom,2021-04-03,42,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-04,53,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-05,45,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-06,45,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-07,46,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-08,62,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-09,38,2023-02-08,Deaths,2021-04-10,331,7
GB,United Kingdom,2021-04-10,43,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-11,41,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-12,38,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-13,47,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-14,35,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-15,43,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-16,32,2023-02-08,Deaths,2021-04-17,279,7
GB,United Kingdom,2021-04-17,43,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-18,31,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-19,23,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-20,35,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-21,36,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-22,33,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-23,29,2023-02-08,Deaths,2021-04-24,230,7
GB,United Kingdom,2021-04-24,24,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-04-25,27,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-04-26,21,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-04-27,25,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-04-28,21,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-04-29,17,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-04-30,16,2023-02-08,Deaths,2021-05-01,151,7
GB,United Kingdom,2021-05-01,16,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-02,19,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-03,17,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-04,15,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-05,22,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-06,17,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-07,18,2023-02-08,Deaths,2021-05-08,124,7
GB,United Kingdom,2021-05-08,20,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-09,11,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-10,8,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-11,21,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-12,15,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-13,15,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-14,14,2023-02-08,Deaths,2021-05-15,104,7
GB,United Kingdom,2021-05-15,15,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-16,14,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-17,13,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-18,11,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-19,4,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-20,7,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-21,18,2023-02-08,Deaths,2021-05-22,82,7
GB,United Kingdom,2021-05-22,4,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-23,16,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-24,16,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-25,11,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-26,14,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-27,8,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-28,14,2023-02-08,Deaths,2021-05-29,83,7
GB,United Kingdom,2021-05-29,12,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-05-30,9,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-05-31,11,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-06-01,10,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-06-02,12,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-06-03,16,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-06-04,14,2023-02-08,Deaths,2021-06-05,84,7
GB,United Kingdom,2021-06-05,7,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-06,13,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-07,6,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-08,15,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-09,17,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-10,16,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-11,13,2023-02-08,Deaths,2021-06-12,87,7
GB,United Kingdom,2021-06-12,12,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-13,12,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-14,13,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-15,21,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-16,16,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-17,9,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-18,18,2023-02-08,Deaths,2021-06-19,101,7
GB,United Kingdom,2021-06-19,20,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-20,22,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-21,13,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-22,18,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-23,9,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-24,29,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-25,22,2023-02-08,Deaths,2021-06-26,133,7
GB,United Kingdom,2021-06-26,17,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-06-27,24,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-06-28,18,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-06-29,24,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-06-30,26,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-07-01,28,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-07-02,32,2023-02-08,Deaths,2021-07-03,169,7
GB,United Kingdom,2021-07-03,31,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-04,30,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-05,29,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-06,35,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-07,36,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-08,42,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-09,53,2023-02-08,Deaths,2021-07-10,256,7
GB,United Kingdom,2021-07-10,45,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-11,36,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-12,43,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-13,50,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-14,47,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-15,54,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-16,55,2023-02-08,Deaths,2021-07-17,330,7
GB,United Kingdom,2021-07-17,60,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-18,73,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-19,88,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-20,68,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-21,61,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-22,86,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-23,83,2023-02-08,Deaths,2021-07-24,519,7
GB,United Kingdom,2021-07-24,69,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-25,73,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-26,79,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-27,77,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-28,84,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-29,88,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-30,105,2023-02-08,Deaths,2021-07-31,575,7
GB,United Kingdom,2021-07-31,92,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-01,97,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-02,92,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-03,80,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-04,92,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-05,101,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-06,98,2023-02-08,Deaths,2021-08-07,652,7
GB,United Kingdom,2021-08-07,106,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-08,84,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-09,84,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-10,85,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-11,89,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-12,106,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-13,98,2023-02-08,Deaths,2021-08-14,652,7
GB,United Kingdom,2021-08-14,104,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-15,91,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-16,89,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-17,102,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-18,111,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-19,115,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-20,127,2023-02-08,Deaths,2021-08-21,739,7
GB,United Kingdom,2021-08-21,118,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-22,129,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-23,120,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-24,118,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-25,108,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-26,125,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-27,139,2023-02-08,Deaths,2021-08-28,857,7
GB,United Kingdom,2021-08-28,134,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-08-29,139,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-08-30,109,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-08-31,128,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-09-01,125,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-09-02,137,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-09-03,152,2023-02-08,Deaths,2021-09-04,924,7
GB,United Kingdom,2021-09-04,146,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-05,164,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-06,157,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-07,166,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-08,143,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-09,180,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-10,150,2023-02-08,Deaths,2021-09-11,1106,7
GB,United Kingdom,2021-09-11,145,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-12,141,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-13,119,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-14,170,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-15,169,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-16,162,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-17,184,2023-02-08,Deaths,2021-09-18,1090,7
GB,United Kingdom,2021-09-18,137,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-19,137,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-20,159,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-21,139,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-22,159,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-23,149,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-24,141,2023-02-08,Deaths,2021-09-25,1021,7
GB,United Kingdom,2021-09-25,128,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-09-26,111,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-09-27,127,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-09-28,121,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-09-29,142,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-09-30,129,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-10-01,139,2023-02-08,Deaths,2021-10-02,897,7
GB,United Kingdom,2021-10-02,118,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-03,107,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-04,113,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-05,135,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-06,114,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-07,133,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-08,122,2023-02-08,Deaths,2021-10-09,842,7
GB,United Kingdom,2021-10-09,121,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-10,115,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-11,138,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-12,136,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-13,137,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-14,161,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-15,140,2023-02-08,Deaths,2021-10-16,948,7
GB,United Kingdom,2021-10-16,152,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-17,141,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-18,139,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-19,143,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-20,154,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-21,165,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-22,151,2023-02-08,Deaths,2021-10-23,1045,7
GB,United Kingdom,2021-10-23,172,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-24,167,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-25,149,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-26,179,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-27,177,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-28,199,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-29,185,2023-02-08,Deaths,2021-10-30,1228,7
GB,United Kingdom,2021-10-30,165,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-10-31,196,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-11-01,192,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-11-02,165,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-11-03,184,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-11-04,169,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-11-05,166,2023-02-08,Deaths,2021-11-06,1237,7
GB,United Kingdom,2021-11-06,171,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-07,161,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-08,161,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-09,157,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-10,170,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-11,158,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-12,146,2023-02-08,Deaths,2021-11-13,1124,7
GB,United Kingdom,2021-11-13,152,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-14,134,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-15,171,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-16,166,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-17,127,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-18,131,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-19,142,2023-02-08,Deaths,2021-11-20,1023,7
GB,United Kingdom,2021-11-20,143,2023-02-08,Deaths,2021-11-27,942,7
GB,United Kingdom,2021-11-21,121,2023-02-08,Deaths,2021-11-27,942,7
GB,United Kingdom,2021-11-22,131,2023-02-08,Deaths,2021-11-27,942,7
GB,United Kingdom,2021-11-23,150,2023-02-08,Deaths,2021-11-27,942,7
GB,United Kingdom,2021-11-24,124,2023-02-08,Deaths,2021-11-27,942,7
