model,location,target_end_date,forecast_date,horizon,target_type,scale,interval_score,dispersion,underprediction,overprediction,type_and_scale
2e10e122,GB,2021-05-29,2021-05-24,1,Cases,log,0.358054921038694,0.0639148006304737,0.29414012040822,0,Cases - log
2e10e122,GB,2021-05-29,2021-05-24,1,Cases,natural,5694.40630748161,751.981073103392,4942.42523437822,0,Cases - natural
2e10e122,GB,2021-05-29,2021-05-24,1,Cases,sqrt,22.4747376018304,3.45394607688494,19.0207915249455,0,Cases - sqrt
EpiExpert-ensemble,GB,2021-05-29,2021-05-24,1,Cases,log,0.32563403187845,0.0449545921781198,0.28067943970033,0,Cases - log
EpiExpert-ensemble,GB,2021-05-29,2021-05-24,1,Cases,natural,5411.72410166553,572.359364863193,4839.36473680233,0,Cases - natural
EpiExpert-ensemble,GB,2021-05-29,2021-05-24,1,Cases,sqrt,20.9283227552367,2.53174732627644,18.3965754289603,0,Cases - sqrt
Layperson_21 (Rt),GB,2021-05-29,2021-05-24,1,Cases,log,0.213481391897418,0.0631180654305453,0.150363326466873,0,Cases - log
Layperson_21 (Rt),GB,2021-05-29,2021-05-24,1,Cases,natural,3598.4888,893.927930434783,2704.56086956522,0,Cases - natural
Layperson_21 (Rt),GB,2021-05-29,2021-05-24,1,Cases,sqrt,13.8146108190006,3.74188882028997,10.0727219987107,0,Cases - sqrt
NC,GB,2021-05-29,2021-05-24,1,Cases,log,0.363033296965909,0.0340881705382623,0.328945126427646,0,Cases - log
NC,GB,2021-05-29,2021-05-24,1,Cases,natural,6083.50020875993,433.010580767528,5650.4896279924,0,Cases - natural
NC,GB,2021-05-29,2021-05-24,1,Cases,sqrt,23.4386618805431,1.9190718349175,21.5195900456256,0,Cases - sqrt
Sophia,GB,2021-05-29,2021-05-24,1,Cases,log,0.681563164029418,0.0340871555412515,0.647476008488167,0,Cases - log
Sophia,GB,2021-05-29,2021-05-24,1,Cases,natural,10016.0771879591,314.884434165878,9701.19275379321,0,Cases - natural
Sophia,GB,2021-05-29,2021-05-24,1,Cases,sqrt,41.0687114629157,1.63650589300927,39.4322055699064,0,Cases - sqrt
Sophia (Rt),GB,2021-05-29,2021-05-24,1,Cases,log,0.28504426296901,0.0557335863219106,0.229310676647099,0,Cases - log
Sophia (Rt),GB,2021-05-29,2021-05-24,1,Cases,natural,4708.62442391304,721.620076086957,3987.00434782609,0,Cases - natural
Sophia (Rt),GB,2021-05-29,2021-05-24,1,Cases,sqrt,18.2569392286605,3.16138860881726,15.0955506198432,0,Cases - sqrt
abc123,GB,2021-05-29,2021-05-24,1,Cases,log,0.44932167419718,0.0343009738468906,0.415020700350289,0,Cases - log
abc123,GB,2021-05-29,2021-05-24,1,Cases,natural,7273.50242636189,399.415182529222,6874.08724383267,0,Cases - natural
abc123,GB,2021-05-29,2021-05-24,1,Cases,sqrt,28.4911365430554,1.84884964386948,26.642286899186,0,Cases - sqrt
aen,GB,2021-05-29,2021-05-24,1,Cases,log,0.507298517710181,0.0614449730376145,0.445853544672566,0,Cases - log
aen,GB,2021-05-29,2021-05-24,1,Cases,natural,7748.12826242919,621.525265657343,7126.60299677184,0,Cases - natural
aen,GB,2021-05-29,2021-05-24,1,Cases,sqrt,31.1618231402874,3.07977901942019,28.0820441208672,0,Cases - sqrt
anonymous_Dragonfly,GB,2021-05-29,2021-05-24,1,Cases,log,0.35751412862664,0.0343012344240232,0.323212894202617,0,Cases - log
anonymous_Dragonfly,GB,2021-05-29,2021-05-24,1,Cases,natural,6001.72169849379,437.82345629966,5563.89824219413,0,Cases - natural
anonymous_Dragonfly,GB,2021-05-29,2021-05-24,1,Cases,sqrt,23.1036219339574,1.93570344021703,21.1679184937404,0,Cases - sqrt
anonymous_Dunlin,GB,2021-05-29,2021-05-24,1,Cases,log,0.0982253516146292,0.054116063568447,0.0441092880461822,0,Cases - log
anonymous_Dunlin,GB,2021-05-29,2021-05-24,1,Cases,natural,1783.88389656549,933.604372500218,850.279524065269,0,Cases - natural
anonymous_Dunlin,GB,2021-05-29,2021-05-24,1,Cases,sqrt,6.60627178712854,3.54485203233687,3.06141975479167,0,Cases - sqrt
anonymous_Magpie,GB,2021-05-29,2021-05-24,1,Cases,log,0.44932167419718,0.0343009738468906,0.415020700350289,0,Cases - log
anonymous_Magpie,GB,2021-05-29,2021-05-24,1,Cases,natural,7273.50242636189,399.415182529222,6874.08724383267,0,Cases - natural
anonymous_Magpie,GB,2021-05-29,2021-05-24,1,Cases,sqrt,28.4911365430554,1.84884964386948,26.642286899186,0,Cases - sqrt
anonymous_Porpoise,GB,2021-05-29,2021-05-24,1,Cases,log,0.304932298667985,0.0298273181650563,0.275104980502928,0,Cases - log
anonymous_Porpoise,GB,2021-05-29,2021-05-24,1,Cases,natural,5260.27341618493,407.21192056822,4853.06149561671,0,Cases - natural
anonymous_Porpoise,GB,2021-05-29,2021-05-24,1,Cases,sqrt,19.9884100937179,1.74125009712804,18.2471599965899,0,Cases - sqrt
anonymous_Rail,GB,2021-05-29,2021-05-24,1,Cases,log,0.581390854124439,0.0343005544398712,0.547090299684568,0,Cases - log
anonymous_Rail,GB,2021-05-29,2021-05-24,1,Cases,natural,8909.88257634413,349.995864076122,8559.88671226801,0,Cases - natural
anonymous_Rail,GB,2021-05-29,2021-05-24,1,Cases,sqrt,35.8201772255499,1.73069590266471,34.0894813228852,0,Cases - sqrt
anonymous_Ruff,GB,2021-05-29,2021-05-24,1,Cases,log,0.546160049250464,0.0639135567655602,0.482246492484904,0,Cases - log
anonymous_Ruff,GB,2021-05-29,2021-05-24,1,Cases,natural,8162.1660882753,615.152296213914,7547.01379206139,0,Cases - natural
anonymous_Ruff,GB,2021-05-29,2021-05-24,1,Cases,sqrt,33.1590803381415,3.12394531494782,30.0351350231937,0,Cases - sqrt
anonymous_Stingray,GB,2021-05-29,2021-05-24,1,Cases,log,0.0403311891168242,0.034302174165347,0.00602901495147719,0,Cases - log
anonymous_Stingray,GB,2021-05-29,2021-05-24,1,Cases,natural,791.64815506368,670.256568194402,121.391586869278,0,Cases - natural
anonymous_Stingray,GB,2021-05-29,2021-05-24,1,Cases,sqrt,2.82277257071533,2.39502388362998,0.427748687085353,0,Cases - sqrt
anonymous_Wasp,GB,2021-05-29,2021-05-24,1,Cases,log,0.634482331002516,0.0213046818595588,0.613177649142958,0,Cases - log
anonymous_Wasp,GB,2021-05-29,2021-05-24,1,Cases,natural,9583.89345635976,215.22161086414,9368.67184549562,0,Cases - natural
anonymous_Wasp,GB,2021-05-29,2021-05-24,1,Cases,sqrt,38.8113890345125,1.07028031512906,37.7411087193835,0,Cases - sqrt
crowd-direct,GB,2021-05-29,2021-05-24,1,Cases,log,0.199366215751864,0.0618501117586031,0.137516103993261,0,Cases - log
crowd-direct,GB,2021-05-29,2021-05-24,1,Cases,natural,3390.44122217391,895.298613478261,2495.14260869565,0,Cases - natural
crowd-direct,GB,2021-05-29,2021-05-24,1,Cases,sqrt,12.9615728350693,3.70785123927728,9.25372159579204,0,Cases - sqrt
crowd-ensemble,GB,2021-05-29,2021-05-24,1,Cases,log,0.32563403187845,0.0449545921781198,0.28067943970033,0,Cases - log
crowd-ensemble,GB,2021-05-29,2021-05-24,1,Cases,natural,5411.72410166553,572.359364863193,4839.36473680233,0,Cases - natural
crowd-ensemble,GB,2021-05-29,2021-05-24,1,Cases,sqrt,20.9283227552367,2.53174732627644,18.3965754289603,0,Cases - sqrt
crowd-rt,GB,2021-05-29,2021-05-24,1,Cases,log,0.427193622638511,0.0399942441992608,0.38719937843925,0,Cases - log
crowd-rt,GB,2021-05-29,2021-05-24,1,Cases,natural,6919.37965339987,467.155529006995,6452.22412439287,0,Cases - natural
crowd-rt,GB,2021-05-29,2021-05-24,1,Cases,sqrt,27.0903819747155,2.15824721200402,24.9321347627114,0,Cases - sqrt
d.simons,GB,2021-05-29,2021-05-24,1,Cases,log,0.479262537288695,0.0234354690373836,0.455827068251312,0,Cases - log
d.simons,GB,2021-05-29,2021-05-24,1,Cases,natural,7739.42575936505,274.531910979027,7464.89384838603,0,Cases - natural
d.simons,GB,2021-05-29,2021-05-24,1,Cases,sqrt,30.3629555645312,1.26768306448386,29.0952725000474,0,Cases - sqrt
habakuk,GB,2021-05-29,2021-05-24,1,Cases,log,0.581859941349101,0.0606911218442008,0.5211688195049,0,Cases - log
habakuk,GB,2021-05-29,2021-05-24,1,Cases,natural,8692.35039572718,572.059407094027,8120.29098863316,0,Cases - natural
habakuk,GB,2021-05-29,2021-05-24,1,Cases,sqrt,35.3237620191105,2.93672415010885,32.3870378690017,0,Cases - sqrt
habakuk (Rt),GB,2021-05-29,2021-05-24,1,Cases,log,0.254954961294656,0.0780453854579736,0.176909575836682,0,Cases - log
habakuk (Rt),GB,2021-05-29,2021-05-24,1,Cases,natural,4143.5156,1032.18516521739,3111.33043478261,0,Cases - natural
habakuk (Rt),GB,2021-05-29,2021-05-24,1,Cases,sqrt,16.1759063959845,4.46225552081738,11.7136508751671,0,Cases - sqrt
seabbs,GB,2021-05-29,2021-05-24,1,Cases,log,0.392599192567964,0.0213051364705643,0.371294056097399,0,Cases - log
seabbs,GB,2021-05-29,2021-05-24,1,Cases,natural,6596.74936085532,274.121444919565,6322.62791593576,0,Cases - natural
seabbs,GB,2021-05-29,2021-05-24,1,Cases,sqrt,25.3933779197598,1.2078864383362,24.1854914814236,0,Cases - sqrt
seabbs (Rt),GB,2021-05-29,2021-05-24,1,Cases,log,0.277603231921626,0.0592855831322656,0.218317648789361,0,Cases - log
seabbs (Rt),GB,2021-05-29,2021-05-24,1,Cases,natural,4590.32683695652,774.165967391305,3816.16086956522,0,Cases - natural
seabbs (Rt),GB,2021-05-29,2021-05-24,1,Cases,sqrt,17.7876657730375,3.3766982195458,14.4109675534917,0,Cases - sqrt
seb,GB,2021-05-29,2021-05-24,1,Cases,log,0.340802073090867,0.0343012793374356,0.306500793753431,0,Cases - log
seb,GB,2021-05-29,2021-05-24,1,Cases,natural,5757.38932805403,445.202389137054,5312.18693891697,0,Cases - natural
seb,GB,2021-05-29,2021-05-24,1,Cases,sqrt,22.0960301742802,1.95194713992759,20.1440830343527,0,Cases - sqrt
seb (Rt),GB,2021-05-29,2021-05-24,1,Cases,log,0.0649251956817892,0.0556759274228477,0.00924926825894152,0,Cases - log
