location,target_end_date,target_type,true_value,location_name,population,status,forecast_date,quantile,prediction,horizon,model
GB,2021-01-02,Cases,343784,United Kingdom,66022273,ok,,,,,
GB,2021-01-02,Deaths,5380,United Kingdom,66022273,ok,,,,,
GB,2021-01-09,Cases,417620,United Kingdom,66022273,ok,,,,,
GB,2021-01-09,Deaths,6892,United Kingdom,66022273,ok,,,,,
GB,2021-01-16,Cases,339952,United Kingdom,66022273,ok,,,,,
GB,2021-01-16,Deaths,9130,United Kingdom,66022273,ok,,,,,
GB,2021-01-23,Cases,260098,United Kingdom,66022273,ok,,,,,
GB,2021-01-23,Deaths,9608,United Kingdom,66022273,ok,,,,,
GB,2021-01-30,Cases,178629,United Kingdom,66022273,ok,,,,,
GB,2021-01-30,Deaths,8317,United Kingdom,66022273,ok,,,,,
GB,2021-02-06,Cases,133747,United Kingdom,66022273,ok,,,,,
GB,2021-02-06,Deaths,6428,United Kingdom,66022273,ok,,,,,
GB,2021-02-13,Cases,97271,United Kingdom,66022273,ok,,,,,
GB,2021-02-13,Deaths,4867,United Kingdom,66022273,ok,,,,,
GB,2021-02-20,Cases,78569,United Kingdom,66022273,ok,,,,,
GB,2021-02-20,Deaths,3736,United Kingdom,66022273,ok,,,,,
GB,2021-02-27,Cases,64844,United Kingdom,66022273,ok,,,,,
GB,2021-02-27,Deaths,2505,United Kingdom,66022273,ok,,,,,
GB,2021-03-06,Cases,42824,United Kingdom,66022273,ok,,,,,
GB,2021-03-06,Deaths,1706,United Kingdom,66022273,ok,,,,,
GB,2021-03-13,Cases,40477,United Kingdom,66022273,ok,,,,,
GB,2021-03-13,Deaths,1185,United Kingdom,66022273,ok,,,,,
GB,2021-03-20,Cases,37451,United Kingdom,66022273,ok,,,,,
GB,2021-03-20,Deaths,823,United Kingdom,66022273,anomaly,,,,,
GB,2021-03-27,Cases,37909,United Kingdom,66022273,ok,,,,,
GB,2021-03-27,Deaths,619,United Kingdom,66022273,anomaly,,,,,
GB,2021-04-03,Cases,27911,United Kingdom,66022273,ok,,,,,
GB,2021-04-03,Deaths,406,United Kingdom,66022273,anomaly,,,,,
GB,2021-04-10,Cases,10954,United Kingdom,66022273,ok,,,,,
GB,2021-04-10,Deaths,332,United Kingdom,66022273,anomaly,,,,,
GB,2021-04-17,Cases,17893,United Kingdom,66022273,ok,,,,,
GB,2021-04-17,Deaths,279,United Kingdom,66022273,anomaly,,,,,
GB,2021-04-24,Cases,17232,United Kingdom,66022273,ok,,,,,
GB,2021-04-24,Deaths,211,United Kingdom,66022273,anomaly,,,,,
GB,2021-05-01,Cases,15360,United Kingdom,66022273,ok,,,,,
GB,2021-05-01,Deaths,143,United Kingdom,66022273,anomaly,,,,,
GB,2021-05-08,Cases,14560,United Kingdom,66022273,ok,,,,,
GB,2021-05-08,Deaths,128,United Kingdom,66022273,anomaly,,,,,
GB,2021-05-15,Cases,15761,United Kingdom,66022273,ok,,,,,
GB,2021-05-15,Deaths,99,United Kingdom,66022273,anomaly,,,,,
GB,2021-05-22,Cases,11595,United Kingdom,66022273,ok,,,,,
GB,2021-05-22,Deaths,71,United Kingdom,66022273,anomaly,,,,,
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.01,7799.42043470557,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.025,8379.88006274921,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.05,8930.26402179749,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.1,9641.31111064538,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.15,10149.1673571695,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.2,10561.3411697988,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.25,10955.0718897909,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.3,11307.2299666384,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.35,11649.9835335608,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.4,11974.133813688,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.45,12307.1639287798,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.5,12635.1279090909,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.55,12965.61089393,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.6,13316.4639478736,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.65,13692.6295581536,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.7,14108.207448523,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.75,14566.7277624958,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.8,15091.7037165986,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.85,15737.9531444544,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.9,16555.5226338246,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.95,18010.1080276747,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.975,19224.3144386994,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.99,20784.5801469625,1,crowd-ensemble
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.01,7246.516,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.025,7971.515,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.05,8713.1,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.1,9773.02,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.15,10527.18,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.2,11112.84,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.25,11754.1,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.3,12292.98,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.35,12837.85,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.4,13325.6,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.45,13859.6,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.5,14363.1,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.55,14854.3,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.6,15395.04,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.65,15986.75,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.7,16664.4,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.75,17404.1,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.8,18246,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.85,19316.22,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.9,20583.22,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.95,23314.7,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.975,25253.57,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.99,27882.784,1,direct crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.01,7549.07759350598,1,rt crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.025,8069.15395409768,1,rt crowd
GB,2021-05-29,Cases,20499,United Kingdom,66022273,ok,2021-05-24,0.05,8547.78692273398,1,rt crowd
