location,target_end_date,target_type,true_value,location_name,population,status
GB,2021-08-28,Deaths,756,,,anomaly
GB,2021-09-04,Cases,243125,United Kingdom,66022273,ok
GB,2021-09-04,Deaths,798,,,anomaly
GB,2021-09-11,Cases,256051,United Kingdom,66022273,ok
GB,2021-09-11,Deaths,947,,,anomaly
GB,2021-09-18,Cases,203077,United Kingdom,66022273,ok
GB,2021-09-18,Deaths,995,,,anomaly
GB,2021-09-25,Cases,230494,United Kingdom,66022273,ok
GB,2021-09-25,Deaths,1000,,,ok
GB,2021-10-02,Cases,239781,United Kingdom,66022273,ok
GB,2021-10-02,Deaths,806,,,anomaly
GB,2021-10-09,Cases,249699,United Kingdom,66022273,ok
GB,2021-10-09,Deaths,752,,,anomaly
GB,2021-10-16,Cases,283756,United Kingdom,66022273,ok
GB,2021-10-16,Deaths,838,,,anomaly
GB,2021-10-23,Cases,330465,United Kingdom,66022273,ok
GB,2021-10-23,Deaths,947,,,anomaly
GB,2021-10-30,Cases,285028,United Kingdom,66022273,ok
GB,2021-10-30,Deaths,1066,,,anomaly
GB,2021-11-06,Cases,252104,United Kingdom,66022273,ok
GB,2021-11-06,Deaths,1196,,,ok
GB,2021-11-13,Cases,252905,United Kingdom,66022273,ok
GB,2021-11-13,Deaths,1090,,,ok
GB,2021-11-20,Cases,281063,United Kingdom,66022273,ok
GB,2021-11-20,Deaths,1038,,,ok
GB,2021-11-27,Cases,304374,United Kingdom,66022273,ok
GB,2021-11-27,Deaths,877,,,anomaly
GB,2021-12-04,Cases,310696,United Kingdom,66022273,ok
GB,2021-12-04,Deaths,831,,,anomaly
GB,2021-12-11,Cases,350340,United Kingdom,66022273,ok
GB,2021-12-11,Deaths,831,,,anomaly
GB,2021-12-18,Cases,507984,United Kingdom,66022273,ok
GB,2021-12-18,Deaths,793,,,anomaly
GB,2021-12-25,Cases,733725,United Kingdom,66022273,ok
GB,2021-12-25,Deaths,809,,,anomaly
GB,2022-01-01,Cases,1087305,United Kingdom,66022273,ok
