target_type,target_end_date,location,true_value,location_name,population
Cases,2021-01-01,GB,53285,United Kingdom,66022273
Cases,2021-01-02,GB,57724,United Kingdom,66022273
Cases,2021-01-03,GB,54990,United Kingdom,66022273
Cases,2021-01-04,GB,58784,United Kingdom,66022273
Cases,2021-01-05,GB,60916,United Kingdom,66022273
Cases,2021-01-06,GB,62322,United Kingdom,66022273
Cases,2021-01-07,GB,52618,United Kingdom,66022273
Cases,2021-01-08,GB,68053,United Kingdom,66022273
Cases,2021-01-09,GB,59937,United Kingdom,66022273
Cases,2021-01-10,GB,54940,United Kingdom,66022273
Cases,2021-01-11,GB,46169,United Kingdom,66022273
Cases,2021-01-12,GB,45533,United Kingdom,66022273
Cases,2021-01-13,GB,47525,United Kingdom,66022273
Cases,2021-01-14,GB,48682,United Kingdom,66022273
Cases,2021-01-15,GB,55761,United Kingdom,66022273
Cases,2021-01-16,GB,41342,United Kingdom,66022273
Cases,2021-01-17,GB,38598,United Kingdom,66022273
Cases,2021-01-18,GB,37535,United Kingdom,66022273
Cases,2021-01-19,GB,33355,United Kingdom,66022273
Cases,2021-01-20,GB,38905,United Kingdom,66022273
Cases,2021-01-21,GB,37892,United Kingdom,66022273
Cases,2021-01-22,GB,40261,United Kingdom,66022273
Cases,2021-01-23,GB,33552,United Kingdom,66022273
Cases,2021-01-24,GB,30004,United Kingdom,66022273
Cases,2021-01-25,GB,22195,United Kingdom,66022273
Cases,2021-01-26,GB,20088,United Kingdom,66022273
Cases,2021-01-27,GB,25308,United Kingdom,66022273
Cases,2021-01-28,GB,28680,United Kingdom,66022273
Cases,2021-01-29,GB,29079,United Kingdom,66022273
Cases,2021-01-30,GB,23275,United Kingdom,66022273
Cases,2021-01-31,GB,21088,United Kingdom,66022273
Cases,2021-02-01,GB,18607,United Kingdom,66022273
Cases,2021-02-02,GB,16840,United Kingdom,66022273
Cases,2021-02-03,GB,19202,United Kingdom,66022273
Cases,2021-02-04,GB,20634,United Kingdom,66022273
Cases,2021-02-05,GB,19114,United Kingdom,66022273
Cases,2021-02-06,GB,18262,United Kingdom,66022273
Cases,2021-02-07,GB,15845,United Kingdom,66022273
Cases,2021-02-08,GB,14104,United Kingdom,66022273
Cases,2021-02-09,GB,12364,United Kingdom,66022273
Cases,2021-02-10,GB,13013,United Kingdom,66022273
Cases,2021-02-11,GB,13494,United Kingdom,66022273
Cases,2021-02-12,GB,15144,United Kingdom,66022273
Cases,2021-02-13,GB,13307,United Kingdom,66022273
Cases,2021-02-14,GB,10972,United Kingdom,66022273
Cases,2021-02-15,GB,9765,United Kingdom,66022273
Cases,2021-02-16,GB,10625,United Kingdom,66022273
Cases,2021-02-17,GB,12717,United Kingdom,66022273
Cases,2021-02-18,GB,12057,United Kingdom,66022273
Cases,2021-02-19,GB,12027,United Kingdom,66022273
Cases,2021-02-20,GB,10406,United Kingdom,66022273
Cases,2021-02-21,GB,9834,United Kingdom,66022273
Cases,2021-02-22,GB,10641,United Kingdom,66022273
Cases,2021-02-23,GB,8489,United Kingdom,66022273
Cases,2021-02-24,GB,9938,United Kingdom,66022273
Cases,2021-02-25,GB,9985,United Kingdom,66022273
Cases,2021-02-26,GB,8523,United Kingdom,66022273
Cases,2021-02-27,GB,7434,United Kingdom,66022273
Cases,2021-02-28,GB,6035,United Kingdom,66022273
Cases,2021-03-01,GB,5455,United Kingdom,66022273
Cases,2021-03-02,GB,6391,United Kingdom,66022273
Cases,2021-03-03,GB,6385,United Kingdom,66022273
Cases,2021-03-04,GB,6573,United Kingdom,66022273
Cases,2021-03-05,GB,5946,United Kingdom,66022273
Cases,2021-03-06,GB,6039,United Kingdom,66022273
Cases,2021-03-07,GB,5177,United Kingdom,66022273
