location,forecast_date,quantile,prediction,horizon,model,target_end_date,target_type,expert
GB,2021-05-24,0.7,16107,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.75,17067,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.75,17067,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.8,18490,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.8,18490,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.85,19905,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.85,19905,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.9,22468,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.9,22468,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.95,25796,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.95,25796,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.975,28448.5,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.975,28448.5,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.99,30403,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.99,30403,2,EpiNow2,2021-06-05,Cases,
GB,2021-05-24,0.01,5081,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.01,5081,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.025,5481.5,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.025,5481.5,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.05,5844,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.05,5844,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.1,6656,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.1,6656,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.15,7298,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.15,7298,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.2,8027,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.2,8027,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.25,8628,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.25,8628,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.3,9204,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.3,9204,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.35,9908,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.35,9908,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.4,10566,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.4,10566,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.45,11281,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.45,11281,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.5,12002,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.5,12002,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.55,12831,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.55,12831,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.6,13860,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.6,13860,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.65,15018,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.65,15018,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.7,16200,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.7,16200,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.75,17586,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.75,17586,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.8,19481,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.8,19481,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.85,21909,3,EpiNow2,2021-06-12,Cases,
GB,2021-05-24,0.85,21909,3,EpiNow2,2021-06-12,Cases,
